rank_group,name,cldice,dice,precision,recall,accuracy,image_path,mask_path
BEST,RetCam 4.png,0.6262840664806375,0.5556214479861626,0.520726228521143,0.5955294242279782,0.8662805179547998,/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Agrawal2021/HVDROPDB-BV/RetCam_Vessels_images/4.png,/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Agrawal2021/HVDROPDB-BV/RetCam_Vessels_masks/4.png
BEST,RetCam 5.png,0.617881045586564,0.5251599969157221,0.472985360704464,0.5902724814532344,0.8847887987966638,/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Agrawal2021/HVDROPDB-BV/RetCam_Vessels_images/5.png,/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Agrawal2021/HVDROPDB-BV/RetCam_Vessels_masks/5.png
BEST,RetCam 2.png,0.6056632103448419,0.5391328275482526,0.46453732556564153,0.6422684274608973,0.9129882997317065,/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Agrawal2021/HVDROPDB-BV/RetCam_Vessels_images/2.png,/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Agrawal2021/HVDROPDB-BV/RetCam_Vessels_masks/2.png
WORST,Neo 2.png,0.36660678674925157,0.4082033540518354,0.5194761584956347,0.33619066016322985,0.9137332333262815,/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Agrawal2021/HVDROPDB-BV/Neo_Vessels_images/2.png,/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Agrawal2021/HVDROPDB-BV/Neo_Vessels_masks/2.png
WORST,Neo 3.png,0.37802872650463765,0.41639045656782825,0.5374120820888332,0.33985693569417874,0.8330058015841144,/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Agrawal2021/HVDROPDB-BV/Neo_Vessels_images/3.png,/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Agrawal2021/HVDROPDB-BV/Neo_Vessels_masks/3.png
WORST,Neo 1.png,0.39394111204199384,0.4228332960727327,0.4740007796981454,0.38163637450675597,0.8509771307993423,/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Agrawal2021/HVDROPDB-BV/Neo_Vessels_images/1.png,/home/hoohkun/Documents/Github Repo/rop-stage-classification/data/Agrawal2021/HVDROPDB-BV/Neo_Vessels_masks/1.png
