phase,target_density,main_low_mult,main_high_mult,residual_enabled,residual_low_mult,recovery_axis_ratio,recovery_skeleton_length,recovery_branch_density,precision,recall,accuracy,dice,f1,cl_precision,cl_recall,cldice,cldice_evaluated,mean_precision,mean_recall,mean_accuracy,mean_dice,mean_f1,tp,fp,fn,tn,sample_count
full_t1_t2,0.115,1.45,0.6,True,1.22,2.6,8,0.1,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,0.48572976489209896,0.5053527704307226,0.48072284967364204,True,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.22,2.6,8,0.15,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,0.48572976489209896,0.5053527704307226,0.48072284967364204,True,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.22,2.6,8,0.2,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,0.48572976489209896,0.5053527704307226,0.48072284967364204,True,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.22,2.6,12,0.1,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,0.48572976489209896,0.5053527704307226,0.48072284967364204,True,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.22,2.6,12,0.15,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,0.48572976489209896,0.5053527704307226,0.48072284967364204,True,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.22,2.6,12,0.2,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,0.48572976489209896,0.5053527704307226,0.48072284967364204,True,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.22,2.6,18,0.1,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,0.48572976489209896,0.5053527704307226,0.48072284967364204,True,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.22,2.6,18,0.15,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,0.48572976489209896,0.5053527704307226,0.48072284967364204,True,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.22,2.6,18,0.2,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,0.48572976489209896,0.5053527704307226,0.48072284967364204,True,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.35,2.6,8,0.1,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,0.48572976489209896,0.5053527704307226,0.48072284967364204,True,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.35,2.6,8,0.15,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,,,,False,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.35,2.6,8,0.2,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,,,,False,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.35,2.6,12,0.1,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,,,,False,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.35,2.6,12,0.15,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,,,,False,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
full_t1_t2,0.115,1.45,0.6,True,1.35,2.6,12,0.2,0.4690819163465831,0.4541259082389792,0.865565758032585,0.46148276829217916,0.46148276829217916,,,,False,0.46177561176608384,0.4870076779048517,0.8685157047518661,0.46498367441349975,0.46498367441349975,212253,240233,255135,2977214,10
