phase,target_density,main_low_mult,main_high_mult,residual_enabled,residual_low_mult,recovery_axis_ratio,recovery_skeleton_length,recovery_branch_density,precision,recall,accuracy,f1,mean_precision,mean_recall,mean_accuracy,mean_f1,tp,fp,fn,tn,sample_count
threshold,0.075,1.15,0.45,False,1.22,2.3,,0.12,0.6517616683025418,0.2884070622266725,0.8901950833619415,0.3998700699634683,0.6370336601560316,0.3047954955233073,0.8935508006177637,0.4054332612558887,134798,72023,332590,3145424,10
threshold,0.075,1.15,0.5,False,1.22,2.3,,0.12,0.6517616683025418,0.2884070622266725,0.8901950833619415,0.3998700699634683,0.6370336601560316,0.3047954955233073,0.8935508006177637,0.4054332612558887,134798,72023,332590,3145424,10
threshold,0.075,1.15,0.55,False,1.22,2.3,,0.12,0.6517616683025418,0.2884070622266725,0.8901950833619415,0.3998700699634683,0.6370336601560316,0.3047954955233073,0.8935508006177637,0.4054332612558887,134798,72023,332590,3145424,10
threshold,0.075,1.25,0.45,False,1.22,2.3,,0.12,0.6422494375964042,0.3109108492301899,0.8906282099469854,0.4189900079146658,0.6329679038086482,0.32977166446778067,0.8943727173276802,0.42684833125155625,145316,80945,322072,3136502,10
threshold,0.075,1.25,0.5,False,1.22,2.3,,0.12,0.6422494375964042,0.3109108492301899,0.8906282099469854,0.4189900079146658,0.6329679038086482,0.32977166446778067,0.8943727173276802,0.42684833125155625,145316,80945,322072,3136502,10
threshold,0.075,1.25,0.55,False,1.22,2.3,,0.12,0.6422494375964042,0.3109108492301899,0.8906282099469854,0.4189900079146658,0.6329679038086482,0.32977166446778067,0.8943727173276802,0.42684833125155625,145316,80945,322072,3136502,10
threshold,0.075,1.35,0.45,False,1.22,2.3,,0.12,0.6245466313207969,0.3231062842862889,0.8895046860985635,0.42588365019762003,0.6134823735367612,0.34263902750708913,0.8931822875082467,0.43196374164609724,151016,90785,316372,3126662,10
threshold,0.075,1.35,0.5,False,1.22,2.3,,0.12,0.6245466313207969,0.3231062842862889,0.8895046860985635,0.42588365019762003,0.6134823735367612,0.34263902750708913,0.8931822875082467,0.43196374164609724,151016,90785,316372,3126662,10
threshold,0.075,1.35,0.55,False,1.22,2.3,,0.12,0.6245466313207969,0.3231062842862889,0.8895046860985635,0.42588365019762003,0.6134823735367612,0.34263902750708913,0.8931822875082467,0.43196374164609724,151016,90785,316372,3126662,10
threshold,0.085,1.15,0.45,False,1.22,2.3,,0.12,0.6279984721161191,0.31658707540630054,0.8895282963823347,0.42095964768537486,0.6173337726172636,0.3358056164679474,0.8932328002405059,0.4275661638675047,147969,87651,319419,3129796,10
threshold,0.085,1.15,0.5,False,1.22,2.3,,0.12,0.6279984721161191,0.31658707540630054,0.8895282963823347,0.42095964768537486,0.6173337726172636,0.3358056164679474,0.8932328002405059,0.4275661638675047,147969,87651,319419,3129796,10
threshold,0.085,1.15,0.55,False,1.22,2.3,,0.12,0.6279984721161191,0.31658707540630054,0.8895282963823347,0.42095964768537486,0.6173337726172636,0.3358056164679474,0.8932328002405059,0.4275661638675047,147969,87651,319419,3129796,10
threshold,0.085,1.25,0.45,False,1.22,2.3,,0.12,0.620828791692265,0.3351219971415612,0.8897049664367604,0.43528053323477145,0.6099137207216715,0.3557217068401514,0.8932849903896285,0.4416126625077375,156632,95663,310756,3121784,10
threshold,0.085,1.25,0.5,False,1.22,2.3,,0.12,0.620828791692265,0.3351219971415612,0.8897049664367604,0.43528053323477145,0.6099137207216715,0.3557217068401514,0.8932849903896285,0.4416126625077375,156632,95663,310756,3121784,10
