phase,target_density,main_low_mult,main_high_mult,residual_enabled,residual_low_mult,recovery_axis_ratio,recovery_skeleton_length,recovery_branch_density,precision,recall,accuracy,dice,f1,cl_precision,cl_recall,cldice,cldice_evaluated,mean_precision,mean_recall,mean_accuracy,mean_dice,mean_f1,tp,fp,fn,tn,sample_count
full_t1_t2,0.115,1.45,0.6,True,1.1,2.6,18,0.1,0.49523470167236794,0.46173685841294004,0.8641383333200764,0.47789950060142733,0.47789950060142733,0.5002030706138387,0.5271304666203599,0.4855984377857026,True,0.4705868285938436,0.49926025041340594,0.8675976948275119,0.4638439837213851,0.4638439837213851,2290460,2334539,2670071,29541001,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.6,18,0.15,0.49523470167236794,0.46173685841294004,0.8641383333200764,0.47789950060142733,0.47789950060142733,0.5002030706138387,0.5271304666203599,0.4855984377857026,True,0.4705868285938436,0.49926025041340594,0.8675976948275119,0.4638439837213851,0.4638439837213851,2290460,2334539,2670071,29541001,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.6,18,0.2,0.49523470167236794,0.46173685841294004,0.8641383333200764,0.47789950060142733,0.47789950060142733,0.5002030706138387,0.5271304666203599,0.4855984377857026,True,0.4705868285938436,0.49926025041340594,0.8675976948275119,0.4638439837213851,0.4638439837213851,2290460,2334539,2670071,29541001,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.6,12,0.1,0.49523470167236794,0.46173685841294004,0.8641383333200764,0.47789950060142733,0.47789950060142733,0.5002030706138387,0.5271304666203599,0.4855984377857026,True,0.4705868285938436,0.49926025041340594,0.8675976948275119,0.4638439837213851,0.4638439837213851,2290460,2334539,2670071,29541001,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.6,8,0.15,0.49523470167236794,0.46173685841294004,0.8641383333200764,0.47789950060142733,0.47789950060142733,0.5002030706138387,0.5271304666203599,0.4855984377857026,True,0.4705868285938436,0.49926025041340594,0.8675976948275119,0.4638439837213851,0.4638439837213851,2290460,2334539,2670071,29541001,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.6,8,0.1,0.49523470167236794,0.46173685841294004,0.8641383333200764,0.47789950060142733,0.47789950060142733,0.5002030706138387,0.5271304666203599,0.4855984377857026,True,0.4705868285938436,0.49926025041340594,0.8675976948275119,0.4638439837213851,0.4638439837213851,2290460,2334539,2670071,29541001,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.6,8,0.2,0.49523470167236794,0.46173685841294004,0.8641383333200764,0.47789950060142733,0.47789950060142733,0.5002030706138387,0.5271304666203599,0.4855984377857026,True,0.4705868285938436,0.49926025041340594,0.8675976948275119,0.4638439837213851,0.4638439837213851,2290460,2334539,2670071,29541001,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.6,12,0.15,0.49523470167236794,0.46173685841294004,0.8641383333200764,0.47789950060142733,0.47789950060142733,0.5002030706138387,0.5271304666203599,0.4855984377857026,True,0.4705868285938436,0.49926025041340594,0.8675976948275119,0.4638439837213851,0.4638439837213851,2290460,2334539,2670071,29541001,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.6,12,0.2,0.49523470167236794,0.46173685841294004,0.8641383333200764,0.47789950060142733,0.47789950060142733,0.5002030706138387,0.5271304666203599,0.4855984377857026,True,0.4705868285938436,0.49926025041340594,0.8675976948275119,0.4638439837213851,0.4638439837213851,2290460,2334539,2670071,29541001,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.0,12,0.2,0.48819077580011366,0.46381022515533116,0.8623132201042831,0.4756883100235389,0.4756883100235389,0.48926086672498387,0.5278986173518422,0.4800980593982689,True,0.4627064862356558,0.5001813207130493,0.8654677927080202,0.4602125239615802,0.4602125239615802,2300745,2412054,2659786,29463486,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.0,8,0.2,0.48819077580011366,0.46381022515533116,0.8623132201042831,0.4756883100235389,0.4756883100235389,0.48926086672498387,0.5278986173518422,0.4800980593982689,True,0.4627064862356558,0.5001813207130493,0.8654677927080202,0.4602125239615802,0.4602125239615802,2300745,2412054,2659786,29463486,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.0,18,0.15,0.48819077580011366,0.46381022515533116,0.8623132201042831,0.4756883100235389,0.4756883100235389,0.48926086672498387,0.5278986173518422,0.4800980593982689,True,0.4627064862356558,0.5001813207130493,0.8654677927080202,0.4602125239615802,0.4602125239615802,2300745,2412054,2659786,29463486,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.0,18,0.2,0.48819077580011366,0.46381022515533116,0.8623132201042831,0.4756883100235389,0.4756883100235389,0.48926086672498387,0.5278986173518422,0.4800980593982689,True,0.4627064862356558,0.5001813207130493,0.8654677927080202,0.4602125239615802,0.4602125239615802,2300745,2412054,2659786,29463486,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.0,18,0.1,0.48819077580011366,0.46381022515533116,0.8623132201042831,0.4756883100235389,0.4756883100235389,0.48926086672498387,0.5278986173518422,0.4800980593982689,True,0.4627064862356558,0.5001813207130493,0.8654677927080202,0.4602125239615802,0.4602125239615802,2300745,2412054,2659786,29463486,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.0,12,0.1,0.48819077580011366,0.46381022515533116,0.8623132201042831,0.4756883100235389,0.4756883100235389,0.48926086672498387,0.5278986173518422,0.4800980593982689,True,0.4627064862356558,0.5001813207130493,0.8654677927080202,0.4602125239615802,0.4602125239615802,2300745,2412054,2659786,29463486,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.0,12,0.15,0.48819077580011366,0.46381022515533116,0.8623132201042831,0.4756883100235389,0.4756883100235389,0.48926086672498387,0.5278986173518422,0.4800980593982689,True,0.4627064862356558,0.5001813207130493,0.8654677927080202,0.4602125239615802,0.4602125239615802,2300745,2412054,2659786,29463486,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.0,8,0.1,0.48819077580011366,0.46381022515533116,0.8623132201042831,0.4756883100235389,0.4756883100235389,0.48926086672498387,0.5278986173518422,0.4800980593982689,True,0.4627064862356558,0.5001813207130493,0.8654677927080202,0.4602125239615802,0.4602125239615802,2300745,2412054,2659786,29463486,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.0,8,0.15,0.48819077580011366,0.46381022515533116,0.8623132201042831,0.4756883100235389,0.4756883100235389,0.48926086672498387,0.5278986173518422,0.4800980593982689,True,0.4627064862356558,0.5001813207130493,0.8654677927080202,0.4602125239615802,0.4602125239615802,2300745,2412054,2659786,29463486,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.3,8,0.1,0.4906735944495447,0.46158223786929264,0.8629720037188549,0.4756835465903615,0.4756835465903615,,,,False,0.4660493461186643,0.4985452129281547,0.8663107421749896,0.46111536872285486,0.46111536872285486,2289693,2376735,2670838,29498805,100
full_t1_t2,0.115,1.45,0.6,True,1.1,2.3,8,0.15,0.4906735944495447,0.46158223786929264,0.8629720037188549,0.4756835465903615,0.4756835465903615,,,,False,0.4660493461186643,0.4985452129281547,0.8663107421749896,0.46111536872285486,0.46111536872285486,2289693,2376735,2670838,29498805,100
