variant,dice,iou,precision,sensitivity,specificity,pred_density,gt_density,auprc,roc_auc
paper_p10_area50,0.30765016317474914,0.1881257026717753,0.4407963358307474,0.27566288082427426,0.9765210580335963,0.039247938368055554,0.07158067491319445,0.22820929980606527,0.7835351824968974
paper_p08_area25,0.30671554502704035,0.18589033531724125,0.445476798699604,0.26184114750051596,0.9776830159987864,0.037694302029079856,0.07158067491319445,0.22820929980606527,0.7835351824968974
paper_p10_area25,0.30638651333493994,0.18639960015689155,0.41081010866047835,0.2874515526518423,0.9718304958670103,0.04443157958984375,0.07158067491319445,0.22820929980606527,0.7835351824968974
paper_p10_area100,0.30544797898540277,0.18749501429041074,0.46417831059298936,0.2639646190770973,0.9799197893603555,0.03522987874348958,0.07158067491319445,0.22820929980606527,0.7835351824968974
paper_p08_area50,0.3050053417483928,0.1851327322359727,0.4700911886157139,0.2508532172606229,0.9808901694813761,0.03394365776909722,0.07158067491319445,0.22820929980606527,0.7835351824968974
paper_p08_area100,0.2978347590739122,0.1808275364044866,0.48165957959242905,0.23873235240038193,0.9830366228364369,0.031013393825954867,0.07158067491319445,0.22820929980606527,0.7835351824968974
tuned_active,0.2960596968412238,0.18142275541510025,0.41137816966495755,0.2872857130731411,0.9740921438302959,0.04073358832465278,0.07158067491319445,0.2965867473339544,0.803618718652013
paper_tri8_area25,0.2686356319722166,0.1600734254137819,0.49691999060448727,0.1943183837520599,0.9873421954850403,0.025383626302083333,0.07158067491319445,0.22820929980606527,0.7835351824968974
paper_p12_area50,0.25224388447132173,0.14910923482288393,0.3732650201453131,0.2433570928840735,0.9737236107916125,0.03902022298177084,0.07158067491319445,0.22820929980606527,0.7835351824968974
paper_p12_area100,0.25069517665053037,0.14936365764165185,0.3972735134882541,0.23167016741491803,0.9782200971489129,0.033907253689236104,0.07158067491319445,0.22820929980606527,0.7835351824968974
paper_p12_area25,0.2479135946035817,0.14532300785844882,0.33480175149390645,0.25346173224502144,0.9671720864759248,0.04584413655598959,0.07158067491319445,0.22820929980606527,0.7835351824968974
paper_tri4_area25,0.17003411868947307,0.09473327059813931,0.542954769249161,0.102852525358001,0.9941710289402449,0.012976155598958334,0.07158067491319445,0.22820929980606527,0.7835351824968974
