channel_source,dice,iou,precision,sensitivity,specificity,pred_density,gt_density,auprc,roc_auc
CIELAB blackhat,0.36937701522306354,0.22986490976166607,0.36203293493294664,0.41031601488338393,0.9466643882403867,0.07855395507812499,0.07158067491319445,0.25991649089637425,0.6824185824383096
CIELAB green 8x8,0.38060143157944026,0.2382601614711631,0.37172858571699224,0.4241436199968273,0.9475244419123395,0.07854258219401042,0.07158067491319445,0.2577056590189123,0.6894588288046088
CIELAB green local16,0.38160074748498896,0.23866987234629705,0.37188403057060176,0.4263564273317191,0.9475006460801085,0.07855244954427083,0.07158067491319445,0.25543893161208886,0.6904562645724316
CIELAB local16 small,0.374229742700289,0.23319511166499024,0.3655082096783862,0.41706480806775864,0.9469642748550633,0.07855270724826388,0.07158067491319445,0.2539845281230491,0.6857948580862605
