channel_source,dice,iou,precision,sensitivity,specificity,pred_density,gt_density,auprc,roc_auc
C4 artifact safe,0.27973851394408566,0.16498779928994556,0.2756689294290856,0.3086295185433804,0.9392138623233992,0.07857486300998265,0.07158067491319445,0.18455726461383354,0.6267476453620453
C4G4,0.3013477027345133,0.17975137293531948,0.29566670896612784,0.33469950989533154,0.9408917145326298,0.07856746419270834,0.07158067491319445,0.20148908490706008,0.640924269016617
C6G6,0.2934848382190566,0.173964164740459,0.2872008319289566,0.3268137016444712,0.9401425644306094,0.07857130940755208,0.07158067491319445,0.20228854460835072,0.6369633258845337
