variant,dice,iou,precision,sensitivity,specificity,pred_density,gt_density,auprc,roc_auc
Hybrid10,0.3328415310417573,0.20376723446318717,0.25431001899469907,0.516735941403549,0.8857324861968415,0.14395593939887155,0.07158067491319445,0.25148414092698124,0.7127082383236581
P08,0.33399903548960014,0.20337015682953177,0.3691894182190667,0.32796452357367034,0.9590408925278575,0.0609964870876736,0.07158067491319445,0.20157210948293702,0.6451452741774197
P10,0.3432040390450448,0.21063843490794865,0.34049886239003735,0.37508106623335646,0.9464127050215458,0.07624536132812501,0.07158067491319445,0.21573004965133086,0.6635341345782715
P12,0.34497475759595986,0.21231566125500242,0.3157607350009233,0.41493319602630174,0.9332189392766443,0.09149358452690973,0.07158067491319445,0.22649626287346986,0.6783071402549263
Triangle,0.3328415310417573,0.20376723446318717,0.25431001899469907,0.516735941403549,0.8857324861968415,0.14395593939887155,0.07158067491319445,0.25148414092698124,0.7127082383236581
