source,threshold_clean_dice,threshold_clean_iou,threshold_clean_precision,threshold_clean_sensitivity,threshold_clean_specificity,threshold_clean_pred_density,threshold_clean_gt_density,threshold_clean_auprc,threshold_clean_roc_auc,final_binary_dice,final_binary_iou,final_binary_precision,final_binary_sensitivity,final_binary_specificity,final_binary_pred_density,final_binary_gt_density
RetCam,0.42372188071440686,0.2732926664792067,0.5571615357405336,0.3464776959466412,0.9730155378278484,0.056658854166666675,0.09519856770833333,0.29127952404688884,0.6607020145645827,0.2699477836305291,0.1669457592195553,0.5355677458350283,0.20115145996644865,0.9855056217892582,0.031138020833333335,0.09519856770833333
Neo,0.34810993199915524,0.21140887660447696,0.355915426765843,0.3450955126148988,0.9690617925119114,0.04565226236979166,0.04796278211805556,0.18486036795624283,0.6580031062700411,0.3453525427189693,0.20930564612399535,0.34602492582646643,0.35017430168209984,0.9675364942779348,0.04735785590277778,0.04796278211805556
All,0.3859159063567811,0.24235077154184181,0.45653848125318836,0.34578660428077,0.9710386651698799,0.05115555826822917,0.07158067491319445,0.23806994600156584,0.6593525604173118,0.30765016317474914,0.1881257026717753,0.4407963358307474,0.27566288082427426,0.9765210580335963,0.039247938368055554,0.07158067491319445
