source,image,variant,dice,iou,precision,sensitivity,specificity,pred_density,gt_density,auprc,roc_auc
RetCam,1.png,Triangle,0.41783611620499544,0.2640915523888504,0.33417729335844115,0.5573694510248081,0.8392929006871234,0.21085286458333333,0.12641927083333335,0.3054320115099033,0.7103600066502912
RetCam,1.png,P08,0.3137463714594838,0.18606119871246007,0.47118609090437646,0.23516840045318171,0.9618056073094716,0.063095703125,0.12641927083333335,0.21592899421445322,0.5989742633033366
RetCam,1.png,P10,0.346594783160226,0.20962482737455485,0.45107103058316683,0.2814141518178937,0.950440446557657,0.07887044270833334,0.12641927083333335,0.23140839756821951,0.6168736763782334
RetCam,1.png,P12,0.3721984980120693,0.2286510348820338,0.43468391002268575,0.3254197136677226,0.9387548255354633,0.09464192708333333,0.12641927083333335,0.24532017549665427,0.6335892312867314
RetCam,1.png,Hybrid10,0.41783611620499544,0.2640915523888504,0.33417729335844115,0.5573694510248081,0.8392929006871234,0.21085286458333333,0.12641927083333335,0.3054320115099033,0.7103600066502912
RetCam,2.png,Triangle,0.3958289501367505,0.2467498401560692,0.2752157694558171,0.7046348314606412,0.8613315141337782,0.17802083333333332,0.06953125,0.42137776301673424,0.8095359782449467
RetCam,2.png,P08,0.4937539493510793,0.32780431134631705,0.5133933083998528,0.47556179775278673,0.9663168205989331,0.06440755208333333,0.06953125,0.3471146446952189,0.7236585640614009
RetCam,2.png,P10,0.4930466665220209,0.32718111143103007,0.4594266769093737,0.5319756554306867,0.9532255807444692,0.08051106770833333,0.06953125,0.3706916361844034,0.7475105152000907
RetCam,2.png,P12,0.48006426458197693,0.3158451067340333,0.41278344957712815,0.57354868913855,0.9390288273159777,0.096611328125,0.06953125,0.38593782208823424,0.7640163280169834
RetCam,2.png,Hybrid10,0.3958289501367505,0.2467498401560692,0.2752157694558171,0.7046348314606412,0.8613315141337782,0.17802083333333332,0.06953125,0.42137776301673424,0.8095359782449467
RetCam,3.png,Triangle,0.24849763202928626,0.14187684617132149,0.20233967400109523,0.32193864398039074,0.9144733413248523,0.10045247395833333,0.063134765625,0.13559624066332313,0.6219837117863225
RetCam,3.png,P08,0.2479901207187619,0.14154607439799358,0.24255570893313733,0.2536736272234981,0.9466166327895591,0.06602864583333333,0.063134765625,0.12482810623094284,0.6016332032374242
RetCam,3.png,P10,0.24858656059352727,0.14193482532472143,0.21937366884908813,0.2867749419953448,0.9312312155799902,0.08253255208333334,0.063134765625,0.1303696090740582,0.6115637707259137
RetCam,3.png,P12,0.24829385788839325,0.14174401283373114,0.20328677074773366,0.31889662284092196,0.9157763068744431,0.09903971354166667,0.063134765625,0.13517075113889288,0.6210342444964592
RetCam,3.png,Hybrid10,0.24849763202928626,0.14187684617132149,0.20233967400109523,0.32193864398039074,0.9144733413248523,0.10045247395833333,0.063134765625,0.13559624066332313,0.6219837117863225
RetCam,4.png,Triangle,0.5064631208302387,0.33910319048283255,0.4502079815493503,0.5787843490231224,0.9009041443661677,0.15807942708333333,0.12296223958333333,0.4096351085608323,0.7504507949088668
RetCam,4.png,P08,0.42830540037243203,0.2725118483412262,0.6250952501904686,0.3257531635516407,0.9726084342268342,0.06407877604166666,0.12296223958333333,0.3042569913680186,0.6500203187924346
RetCam,4.png,P10,0.46534145559473444,0.3032214933355555,0.589856132650549,0.3842325409011388,0.9625425905443389,0.08009765625,0.12296223958333333,0.33263774837012017,0.6750822461740534
RetCam,4.png,P12,0.4856463595839452,0.3206954747046525,0.5534782903203769,0.43262561550271533,0.9510663410361252,0.09611328125,0.12296223958333333,0.3543518379362316,0.6948483952988462
RetCam,4.png,Hybrid10,0.5064631208302387,0.33910319048283255,0.4502079815493503,0.5787843490231224,0.9009041443661677,0.15807942708333333,0.12296223958333333,0.4096351085608323,0.7504507949088668
RetCam,5.png,Triangle,0.43423693565157984,0.277332468455107,0.3334880956802672,0.6222106722106506,0.8710605733994364,0.17527994791666668,0.0939453125,0.3695715499232659,0.7622985261821755
RetCam,5.png,P08,0.41341937618928576,0.2605725608802143,0.5128284072249326,0.3462924462924343,0.9658906373500001,0.0634375,0.0939453125,0.27906221654584284,0.6577620318305271
RetCam,5.png,P10,0.436302142051852,0.2790194664743985,0.4766009852216553,0.40228690228688835,0.9541927139469679,0.079296875,0.0939453125,0.3015153609824693,0.6809944263040296
RetCam,5.png,P12,0.44784135509191547,0.28852808091561777,0.4449917898193608,0.4507276507276351,0.9417115757706369,0.09515625,0.0939453125,0.31934903184008684,0.7003981377865836
RetCam,5.png,Hybrid10,0.43423693565157984,0.277332468455107,0.3334880956802672,0.6222106722106506,0.8710605733994364,0.17527994791666668,0.0939453125,0.3695715499232659,0.7622985261821755
