source,image,channel_source,dice,iou,precision,sensitivity,specificity,pred_density,gt_density,auprc,roc_auc
RetCam,1.png,CIELAB green 8x8,0.4130816505706696,0.26030428769017466,0.5280583613916735,0.33922134102378365,0.956126753215778,0.0812109375,0.12641927083333335,0.2803057737491226,0.6490612678864023
RetCam,1.png,CIELAB green local16,0.4061456455279391,0.2548197985520882,0.5191791254158276,0.33353074466988536,0.9552995185643345,0.08121419270833333,0.12641927083333335,0.2764841688341364,0.6458667298674168
RetCam,1.png,CIELAB blackhat,0.40736850356666293,0.2557832772232344,0.5207423143211944,0.3345349675558674,0.9554448435706692,0.08121419270833333,0.12641927083333335,0.2878628860981191,0.6467637214410942
RetCam,1.png,CIELAB local16 small,0.40805832092184047,0.25632743101376265,0.5216241131908885,0.33510145226078036,0.9555268217793708,0.08121419270833333,0.12641927083333335,0.28082183636845937,0.6468807008059219
RetCam,2.png,CIELAB green 8x8,0.4978744312234198,0.33144661243528273,0.4578602019566831,0.5455524344569033,0.9517282395745839,0.08284830729166667,0.06953125,0.3904996260019335,0.7542410574366005
RetCam,2.png,CIELAB green local16,0.4934310311678774,0.32751970960239557,0.4537739185100603,0.5406835205992256,0.9513643996641444,0.08284830729166667,0.06953125,0.38092937160768886,0.7514501074466372
RetCam,2.png,CIELAB blackhat,0.45240943267258094,0.29233147463147213,0.41601194217471654,0.49578651685390934,0.9479918835712253,0.08286458333333334,0.06953125,0.38475121591374983,0.7283998177623007
RetCam,2.png,CIELAB local16 small,0.48209860719472614,0.3176086467011845,0.4433443344334259,0.5282771535580277,0.9504338091239821,0.0828515625,0.06953125,0.37730216944385153,0.7451631593779448
RetCam,3.png,CIELAB green 8x8,0.3196665269844,0.19023993279781096,0.2793108764356633,0.3736530033513599,0.9350289258351977,0.08445963541666666,0.063134765625,0.1763122346319403,0.6572282662939027
RetCam,3.png,CIELAB green local16,0.3233958103638297,0.1928873924823055,0.2825274513581089,0.3780871358597382,0.9352964680947137,0.08448893229166667,0.063134765625,0.18146509107770842,0.6596361130393031
RetCam,3.png,CIELAB blackhat,0.26882455405375016,0.15528440787629838,0.23484089683333711,0.3143078112915538,0.9309879953440666,0.08449869791666667,0.063134765625,0.14934570640839406,0.6253041712333162
RetCam,3.png,CIELAB local16 small,0.3066610808546225,0.18109846610588348,0.26789429077739935,0.35854601701467603,0.9339691805215304,0.08449869791666667,0.063134765625,0.18043105745008128,0.6494486456657865
RetCam,4.png,CIELAB green 8x8,0.4882508595965761,0.32297082005701155,0.6080830406125189,0.4078731402551912,0.9631438688174083,0.08247721354166666,0.12296223958333333,0.37653924198372063,0.6878659922163047
RetCam,4.png,CIELAB green local16,0.4860719378862227,0.3210667336515046,0.6053836438269417,0.40604648700163065,0.9628914804064903,0.08247395833333333,0.12296223958333333,0.3607105595690656,0.6864546282285808
RetCam,4.png,CIELAB blackhat,0.49053315376692563,0.3249711346698788,0.6108677637030657,0.40980568645098725,0.9633999688226045,0.082490234375,0.12296223958333333,0.3900640001271927,0.6896776091110843
RetCam,4.png,CIELAB local16 small,0.478641145899346,0.3146142309614999,0.5961007182887127,0.39985174988085986,0.9620155441568335,0.08248046875,0.12296223958333333,0.3584027668817399,0.6831664856972793
RetCam,5.png,CIELAB green 8x8,0.49703857259198014,0.33070614024284306,0.5334949141767111,0.4652460152459991,0.9578177768197135,0.08192708333333333,0.0939453125,0.3681924203208554,0.7146904903767912
RetCam,5.png,CIELAB green local16,0.48884858131743164,0.3234941087132175,0.5246930748142348,0.4575883575883417,0.9570201911331431,0.08193033854166666,0.0939453125,0.36262619412567965,0.7105361917956227
RetCam,5.png,CIELAB blackhat,0.5039792707754858,0.3368798713348921,0.5409217322208764,0.47176022176020543,0.95848602428684,0.08193359375,0.0939453125,0.37001401968075287,0.718169464774606
RetCam,5.png,CIELAB local16 small,0.4904033019304357,0.32485716387532615,0.526361794270709,0.45904365904364314,0.9571710857224942,0.08193033854166666,0.0939453125,0.36725885645431955,0.7115093551483399
Neo,1.png,CIELAB green 8x8,0.2933311117590662,0.17187347456799487,0.24053284754639098,0.37582722550343783,0.9406250111265778,0.07445441351996528,0.04765150282118055,0.15841389240339887,0.6610015723757571
Neo,1.png,CIELAB green local16,0.30222518358111156,0.17801252595947578,0.24778640202125402,0.3873194335728888,0.9411679882076042,0.07448493109809028,0.04765150282118055,0.1602742731516318,0.6667240647208458
Neo,1.png,CIELAB blackhat,0.30123559627932384,0.1773262941109139,0.2469948092159128,0.3860029886856762,0.9411181411313132,0.07446967230902778,0.04765150282118055,0.1727950215252264,0.66679667611536
Neo,1.png,CIELAB local16 small,0.29771638786700494,0.1748923538622101,0.24409843156001176,0.3815199601508439,0.9408849280243806,0.0744781494140625,0.04765150282118055,0.16033289980625548,0.6640881524565777
Neo,2.png,CIELAB green 8x8,0.28204722915941766,0.1641763580156013,0.20293415216649147,0.462255841666211,0.9385774105513696,0.0745391845703125,0.032723320855034724,0.17138018601863497,0.7060282642432646
Neo,2.png,CIELAB green local16,0.2862517586430344,0.16703256157180765,0.2059693343646161,0.4690948655509834,0.9388210466536827,0.0745273166232639,0.032723320855034724,0.18122442200414146,0.7100303647257268
Neo,2.png,CIELAB blackhat,0.2677267410615454,0.1545522565103901,0.1926305015353078,0.43878555515256,0.9377834022467088,0.0745391845703125,0.032723320855034724,0.17593277625807358,0.6940818215488039
