method,dice,sensitivity,precision
clahe_t16c6.0_P10,0.43199757434022446,0.4876221799580498,0.406093556875225
clahe_t32c6.0_P10,0.42373112695537724,0.482696606645512,0.39709062618013197
clahe_t8c6.0_P10,0.4236657866093449,0.48069384392396114,0.39781195446552803
clahe_t16c4.0_P10,0.419934976565155,0.47524082280751,0.3953346291255815
clahe_t8c4.0_P10,0.4161566367400948,0.470004361318107,0.3919503182118303
clahe_t32c4.0_P10,0.4088597686433462,0.46187042366164605,0.38489614036841147
clahe_t8c2.5_P10,0.4030468155399751,0.455367042551025,0.3789746444769915
clahe_t16c2.5_P10,0.4029685482105619,0.4551927686449268,0.3797502050966109
lrn_s20_P10,0.39329719093357524,0.4456768857516403,0.36946597987224566
clahe_t48c6.0_P10,0.3917799782306779,0.442991746868868,0.36908035792818666
clahe_t32c2.5_P10,0.38438861027055093,0.43220569873760195,0.3621266518074057
clahe_t8c1.5_P10,0.38422765343888043,0.43339700280539833,0.361686668971164
clahe_t16c1.5_P10,0.3829084372433256,0.4323890960067817,0.3607026702475191
clahe_t48c4.0_P10,0.3790607406078288,0.42589899409611887,0.35913206458543256
lrn_s10_P10,0.37828554002649967,0.427476986924533,0.3564495333682995
clahe_t32c1.5_P10,0.3663865301872737,0.41138245982851857,0.3463585593791428
lrn_s5_P10,0.3433169171361751,0.38593337579201853,0.32523623946580954
clahe_t48c2.5_P10,0.3429781082668956,0.38482535649392596,0.32469698554158566
clahe_t48c1.5_P10,0.33135330606779057,0.3703982740693739,0.31483262269756723
mstophat_P12,0.29932915217287165,0.3117290986646136,0.3011522382684681
mstophat_P10,0.2906517084792698,0.2765054870663514,0.3161139330277174
mstophat_P08,0.2716488352354529,0.2336646058917203,0.33911176551708744
tvl1_s20_P10,0.20848092869900836,0.22114443897597905,0.20663261335718988
nlm_h5_P10,0.19840669219933163,0.19400861557651228,0.21252985537524408
tvl1_s10_P10,0.13109732656587167,0.13878280511547678,0.1304582792019793
nlm_h10_P10,0.13053895272830154,0.12091249646965842,0.14846835770210445
nlm_h15_P10,0.10625271176547633,0.09906804514185925,0.12037253699339838
tvl1_s5_P10,0.0841987100900432,0.09183530401670197,0.08200055450339212
loggabor_P12,0.0373831241431627,0.04623822091472651,0.033430792220813806
loggabor_P10,0.029854354492898288,0.03309282790249409,0.02923096185908397
loggabor_P08,0.022544385002306832,0.021905974306563075,0.025261990992710356
