clahe1_clip,clahe1_tile,median,clahe2_clip,clahe2_tile,target_density,keep_top,close_ksize,mean_dice,mean_iou,mean_precision,mean_sensitivity
6.0,16,7,9.0,12,0.16,3,5,0.4748955145761014,0.3141024303211956,0.4433472446992349,0.5226427078434182
6.0,16,7,9.0,12,0.16,3,3,0.4746172026155796,0.3138545766762482,0.44672855700285363,0.5176245968667039
6.0,16,7,9.0,12,0.16,3,0,0.47446111096815485,0.31371285462128184,0.4475042858907845,0.5162818483133342
6.0,16,7,8.0,12,0.16,3,3,0.4732894953884331,0.31308875463785535,0.43470549168054673,0.5325009129766735
6.0,16,7,8.0,12,0.16,3,5,0.4732361763241914,0.3130573819558733,0.43089139315198693,0.5379526957748794
7.0,16,7,8.0,12,0.15,3,5,0.4732296966910252,0.31258499265833617,0.4525411222240544,0.5080198383301087
6.0,16,7,10.0,12,0.17,3,5,0.47315571934348694,0.3123502969469188,0.4334472588393328,0.5339652446997777
6.0,16,7,8.0,12,0.16,3,0,0.4731528980946331,0.3129557634282731,0.43545126909516596,0.5310896324831155
6.0,16,7,10.0,12,0.17,3,3,0.47305983323482015,0.31228250690613646,0.4369707754944435,0.5287270919240076
6.0,16,7,10.0,12,0.17,3,0,0.47299275188540313,0.31221978550438806,0.43778601584853816,0.527434066784169
7.0,16,7,8.0,12,0.16,3,5,0.47287553579118297,0.3125659100074265,0.43700201186147825,0.5259094681518032
7.0,16,7,8.0,12,0.16,3,3,0.4725285465356147,0.31225997853463394,0.44043159582778524,0.5204929547269083
7.0,16,7,8.0,12,0.15,3,3,0.47244241443309964,0.3119051093507369,0.45556387400668197,0.5027616814283938
7.0,16,7,8.0,12,0.16,3,0,0.4723968902723528,0.31213131438378305,0.4411837861909463,0.5191812581597481
7.0,16,7,8.0,12,0.15,3,0,0.4722460249551117,0.31172606761770116,0.4562897530123177,0.5014891412518723
6.0,16,7,9.0,12,0.15,3,5,0.47219815211192406,0.3119206043286259,0.4550343237770778,0.5029470269277794
6.0,16,7,9.0,12,0.15,3,3,0.47146460643470034,0.3112882244771661,0.45788486765363684,0.49802766018405104
6.0,16,7,9.0,12,0.15,3,0,0.4712923408042809,0.31113589150261733,0.45865430332203055,0.4967896415495027
6.0,16,7,9.0,12,0.17,3,3,0.471013282665578,0.31084868674927696,0.4283322448819282,0.535269227696858
6.0,16,7,9.0,12,0.17,3,0,0.47088556401542164,0.3107252308468869,0.4290992140023968,0.5338107615591503
6.0,16,7,8.0,12,0.15,3,5,0.47080826809916165,0.3107048365403412,0.44444530436414365,0.5117332489547755
6.0,16,7,9.0,12,0.17,3,5,0.47070010385023164,0.31057819825940125,0.4242951018717117,0.5405600882115502
6.0,16,7,10.0,12,0.16,3,5,0.47060092776772744,0.3105561754259961,0.45021550794125703,0.5064039938192011
6.0,16,7,8.0,12,0.15,3,3,0.4705976269209936,0.31052018749551585,0.4480235247153327,0.5067568236160263
6.0,16,7,8.0,12,0.15,3,0,0.4704132291563218,0.31034995554830697,0.4487774933424368,0.5054245697500218
6.0,16,7,10.0,12,0.16,3,3,0.4700763943340043,0.3101048584201006,0.4530956880900905,0.5018164316162272
6.0,16,7,10.0,12,0.16,3,0,0.46997967445269523,0.31002280370212604,0.45394023704355874,0.5006306767113453
6.0,16,7,8.0,12,0.17,3,3,0.46961063929462743,0.30997293595064895,0.4149620749768764,0.5543917414516141
6.0,16,7,8.0,12,0.17,3,0,0.46949731719441556,0.30986322153163004,0.4157360993597886,0.5527642671224258
7.0,16,7,8.0,12,0.17,3,3,0.469287911087308,0.30934445241283093,0.4256645049460553,0.5347624806882716
7.0,16,7,8.0,12,0.17,3,0,0.4691898628681074,0.3092475359814225,0.42648037131038613,0.5333062047541834
6.0,16,7,7.0,12,0.16,3,3,0.4690669851266055,0.3094101929433096,0.4242219891365566,0.5384600976763675
6.0,16,7,8.0,12,0.17,3,5,0.4690371157223522,0.30948555107180953,0.41071212238452337,0.5600909570387885
6.0,16,7,7.0,12,0.16,3,0,0.4690084975605241,0.3093423494223011,0.4250474805245533,0.5370255491609927
7.0,16,7,8.0,12,0.17,3,5,0.4689579567492628,0.3090728619954306,0.4215899606325239,0.5399868765045882
6.0,16,7,8.0,12,0.18,3,0,0.468730661509597,0.30899581178400026,0.40404463625607867,0.57134370862486
6.0,16,7,8.0,12,0.18,3,3,0.46869341285421584,0.30897794671906376,0.40319821699755753,0.5728794192637388
6.0,16,7,7.0,12,0.15,3,3,0.46867497549867504,0.3089678776466989,0.4358076110192383,0.5194631350329291
6.0,16,7,7.0,12,0.16,3,5,0.46861377411363825,0.3090323816524716,0.4200546770069104,0.5439202157595919
6.0,16,7,7.0,12,0.15,3,0,0.46844109541397927,0.30875427785844,0.4364892249603767,0.517954837595224
6.0,16,7,7.0,12,0.17,3,3,0.46832657671045597,0.3087050027147382,0.40728070307074804,0.5667453974036911
6.0,16,7,7.0,12,0.17,3,0,0.46832613806777257,0.30868974182272446,0.408109514246106,0.5651884266741842
6.0,16,7,7.0,12,0.15,3,5,0.46831833388091154,0.3086681228293989,0.43157795801706494,0.5245590434578289
6.0,16,7,9.0,12,0.18,3,0,0.46831652760314985,0.30851158551549807,0.41247498648042,0.5542034444623577
6.0,16,7,9.0,12,0.18,3,3,0.46827355607716337,0.3084876651425398,0.41154684127471797,0.5557151396088224
6.0,16,7,10.0,12,0.19,3,0,0.468005934919905,0.3076962899716985,0.4035629793425656,0.5684513305638598
6.0,16,7,10.0,12,0.19,3,3,0.4679838069996094,0.3076877897686924,0.40270204968305834,0.5700399877764327
6.0,16,7,8.0,12,0.18,3,5,0.46782663476971187,0.3082479620332518,0.3988105529222493,0.5787670455618871
6.0,16,7,10.0,12,0.18,3,3,0.4676440654620475,0.30753529960268194,0.4197999884994926,0.5417024826968779
6.0,16,7,7.0,12,0.17,3,5,0.46755528607391694,0.3080474754962393,0.4029969510986316,0.5725836401678768
6.0,16,7,9.0,12,0.18,3,5,0.4675515172099245,0.30786596172854525,0.4071967472636275,0.5613090206522602
