dice,iou,precision,sensitivity,specificity,accuracy,pred_density,gt_density,image,source,method
0.34948641613536335,0.21174404109843772,0.44275502547275275,0.2886754557626201,0.9474221579645202,0.8641438802083051,0.08242513020833334,0.12641927083333335,1.png,RetCam,C6G6_combined_P10
0.38075671973971625,0.23514485091981477,0.4269260302020646,0.343598722834395,0.9332548329879964,0.858710937499972,0.10174479166666667,0.12641927083333335,1.png,RetCam,C6G6_combined_Hyst
0.04083999903336294,0.020845668048149586,0.3320235756372023,0.0217581625296061,0.9936653202366563,0.8707975260416383,0.008284505208333333,0.12641927083333335,1.png,RetCam,C6G6_combined_HystCln
0.11021244959107167,0.05832002098184156,0.44064132588643373,0.06298279946439825,0.9884298937263943,0.8714355468749716,0.018069661458333334,0.12641927083333335,1.png,RetCam,C6G6_combined_HystConn
0.3940566358743785,0.2453739307854908,0.3859008219582885,0.402564630754866,0.9072938248050816,0.8434863281249725,0.13187825520833332,0.12641927083333335,1.png,RetCam,C6G6_combined_Elbow
0.049031380990132774,0.025131814275422125,0.20418946971088095,0.027860747759803312,0.9842862679047493,0.8633756510416385,0.017249348958333334,0.12641927083333335,1.png,RetCam,C6G6_combined_ElbowCln
0.04286061785452619,0.02189962464887969,0.38742304309416264,0.022685137501281625,0.9948092888762652,0.8719140624999716,0.00740234375,0.12641927083333335,1.png,RetCam,C6G6_combined_P10Cln
0.0,0.0,0.0,0.0,0.9999999999999627,0.8735807291666382,0.0,0.12641927083333335,1.png,RetCam,C6G6_P10_P10
0.06048057013529627,0.031183276230192368,0.4655300222369699,0.03234112678956835,0.9946267010477935,0.8729752604166382,0.008782552083333334,0.12641927083333335,1.png,RetCam,C6G6_P10_Hyst
0.06173818968624553,0.031852347994336075,0.46538600942201747,0.03306210732309377,0.994503733734741,0.8729589843749715,0.008981119791666667,0.12641927083333335,1.png,RetCam,C6G6_P10_HystCln
0.02684428804825265,0.013604748923590839,0.5626975763902772,0.013750128746520304,0.9984535928812732,0.8739680989583049,0.0030891927083333335,0.12641927083333335,1.png,RetCam,C6G6_P10_HystConn
