method,dice,sensitivity,precision
gabor_median_P10,0.41579875182464776,0.46744486896933035,0.4055488333429829
gabor_median_P08,0.4137293913994612,0.41742600588903866,0.44684175274282745
gabor_median_P12,0.41147083176877214,0.5071680035190853,0.37183225700657835
c6g6_gabor_P08,0.39937273545386004,0.4038756282267016,0.4309475602377377
c6g6_gabor_P10,0.3986825867781546,0.4495817619088218,0.3876920795301738
c6g6_gabor_P12,0.3918278478791669,0.4867212573137158,0.3526493127189376
c6g6_inpaint_gabor_P08,0.3882634416396439,0.39284199314003465,0.41883856958577803
c6g6_inpaint_gabor_P10,0.3875805578950319,0.4371273009201838,0.37695047484907046
c6g6_inpaint_gabor_P12,0.38068008876033177,0.4729717384385778,0.34263365533162415
simple_green_gabor_P12,0.37564609699088714,0.4662896320412383,0.3382481500532988
simple_green_gabor_P10,0.37512745819129745,0.42246164885734394,0.3653012452103571
simple_green_inpaint_gabor_P12,0.36534619299544885,0.4534367203071456,0.3290966321846113
simple_green_inpaint_gabor_P10,0.3651502676994244,0.41129668703491284,0.35560949727440894
almeida_Hyst,0.3631939525653763,0.47295067656629786,0.3331085845717475
simple_green_gabor_P08,0.363087623248034,0.3661788338603673,0.39334252626715693
almeida_P12,0.36301083039409954,0.45448276485029077,0.3253651210011017
almeida_P10,0.3615154713330241,0.41078065529877816,0.3499733658337606
simple_green_inpaint_gabor_P08,0.3544512026539528,0.3577355083024176,0.38374397251278897
almeida_inpaint_P12,0.35273405671765035,0.44203447837633647,0.31599151917003154
almeida_P08,0.35261294352730954,0.359072577334684,0.37872050290093573
almeida_inpaint_P10,0.3513787994432269,0.3996892427575732,0.33991519918522545
almeida_inpaint_P08,0.3431435309413973,0.34978636016883746,0.36823243822018026
almeida_inpaint_Hyst,0.34209639315135587,0.47607716334378797,0.31152092432168366
phase_gabor_Hyst,0.33764869352710325,0.49937635054267976,0.27437762588342096
phase_gabor_P12,0.3320469946051702,0.4103515769942718,0.30021879587944833
phase_gabor_P10,0.3207583086699569,0.358950032827027,0.31440105081655106
c6g6_gabor_Hyst,0.30538342296425075,0.6434348687950444,0.26966072679198083
simple_green_gabor_Hyst,0.30449416163231935,0.665700415971845,0.2515520577963163
simple_green_inpaint_gabor_Hyst,0.3039656218477193,0.6343452880488091,0.25653827100956095
c6g6_inpaint_gabor_Hyst,0.2971673646036024,0.634630441831306,0.2603054648428253
phase_gabor_P08,0.2970802477649979,0.296754794105837,0.3254465016649793
phase_Hyst,0.24269782179615038,0.35769866815221624,0.20190502626294865
phase_P12,0.22529593767807068,0.27802727789862336,0.20411695315686468
gabor_median_Hyst,0.22110086116441632,0.866204394147163,0.13190133142598703
phase_P10,0.20090497902672505,0.22428959402732201,0.19765492050886038
phase_P08,0.16320270398400427,0.16182781855910344,0.18073568189876515
