channel_source,threshold,dice,iou,precision,sensitivity,specificity,pred_density,gt_density
BH isolated,P08,0.12597941594949966,0.0677949530925049,0.1440222366511936,0.12105568604122881,0.9422014893352249,0.06267056952582466,0.07479480997721354
BH isolated,P10,0.13561679328462503,0.07344213325041324,0.13853873459918942,0.14497090983621386,0.9272708081153942,0.07833819919162327,0.07479480997721354
BH isolated,P12,0.14245209858164612,0.07750889128530412,0.13372582330272545,0.16764182826135798,0.9122163318994077,0.09400573052300346,0.07479480997721354
BH isolated,P14,0.14677462067602054,0.08012663180083426,0.12904846513234436,0.18836173275978157,0.897008905759086,0.10967352294921877,0.07479480997721354
BH isolated,SOFT_AUPRC,0.1028254723670304,0.5630666958658899,0.0,0.0,0.0,0.0,0.0
BH isolated,Triangle,0.0927606761748684,0.05055118749890582,0.1529986514878371,0.092689095673605,0.95610119064657,0.04827026706271702,0.07479480997721354
BH isolated,Triangle_clean,0.09445348720411094,0.0516192655616888,0.17609976799583496,0.0902431168858012,0.9607968283861675,0.0437655504014757,0.07479480997721354
BHboost+G6,P08,0.10801485030582632,0.057359137175255925,0.12071783324369015,0.10658675199626685,0.940472731106388,0.06262923516167536,0.07479480997721354
BHboost+G6,P10,0.1159709865931207,0.0618764444695586,0.11590662529125177,0.12779138715858943,0.9251750483539457,0.07828767225477432,0.07479480997721354
BHboost+G6,P12,0.12177103638549655,0.06520658036465261,0.11204716857720767,0.1480484967768187,0.9098122864607989,0.0939446309407552,0.07479480997721354
BHboost+G6,P14,0.1256706003393917,0.06746371311618925,0.10848186275929719,0.1669202543345138,0.8943550699528711,0.10960208468967014,0.07479480997721354
BHboost+G6,SOFT_AUPRC,0.09359560786128979,0.5706845245563622,0.0,0.0,0.0,0.0,0.0
BHboost+G6,Triangle,0.034035625327989635,0.017486279200921533,0.14449261633744487,0.02595325674978592,0.9877625034528779,0.013122382269965278,0.07479480997721354
BHboost+G6,Triangle_clean,0.03300795313951624,0.016979019993191992,0.15878936492662454,0.024660032060659438,0.9895958945222547,0.011310380723741319,0.07479480997721354
C4G4,P08,0.358757520517088,0.22116368505374728,0.3938176936484443,0.3585051434372641,0.9592565468879031,0.06262689208984376,0.07479480997721354
C4G4,P10,0.3692778208353668,0.22925811251210035,0.36471806005239915,0.41086172288969625,0.9466120142433102,0.07828349134657117,0.07479480997721354
C4G4,P12,0.3729907609079369,0.2324098126105687,0.3406719056357239,0.4562411681348724,0.9334983637851819,0.09394049411349828,0.07479480997721354
C4G4,P14,0.37172912718918105,0.23183041825287026,0.31942290634710263,0.49528549344541944,0.9198932184449639,0.10959726291232638,0.07479480997721354
C4G4,SOFT_AUPRC,0.27490117271753794,0.8070503297804177,0.0,0.0,0.0,0.0,0.0
C4G4,Triangle,0.38524033246557615,0.24206180478154357,0.36500153882062303,0.41745837369451727,0.9447842194808906,0.08215602620442708,0.07479480997721354
C4G4,Triangle_clean,0.4106204086605634,0.2617269303493195,0.4151781607836728,0.4132156556513114,0.9545917799604735,0.07266614786783854,0.07479480997721354
C6G6,P08,0.3580660793541524,0.22076398259764796,0.39380519352936205,0.3572319395347918,0.9592723607180172,0.06262423027886285,0.07479480997721354
C6G6,P10,0.3674373711821173,0.22801202614514232,0.363517921523057,0.40810371194356837,0.9465281856776823,0.0782804192437066,0.07479480997721354
C6G6,P12,0.36960532544238905,0.22996001874495656,0.33794939813255254,0.4514926481387228,0.9332331672291649,0.09393645901150174,0.07479480997721354
C6G6,P14,0.36731732494837566,0.22856612166563345,0.31584191988493504,0.48888612346869154,0.9194726609783546,0.10959289550781248,0.07479480997721354
C6G6,SOFT_AUPRC,0.289271112435087,0.8036550409811387,0.0,0.0,0.0,0.0,0.0
C6G6,Triangle,0.3786131383607251,0.2368859577668506,0.35824706594604894,0.4194569425220017,0.943529394255757,0.082996337890625,0.07479480997721354
C6G6,Triangle_clean,0.4027072676822482,0.2554569749062369,0.4045378980003326,0.4148262797342088,0.9534893903538924,0.07331872897677952,0.07479480997721354
FlatDiv+G6,P08,0.3725635165787944,0.23156607454001826,0.41071446137729384,0.3707189370048686,0.9604892535466879,0.06262581719292534,0.07479480997721354
FlatDiv+G6,P10,0.3743381296963914,0.23313785010143556,0.37077838124468954,0.41494907639205597,0.9471951877707371,0.07828236558702256,0.07479480997721354
FlatDiv+G6,P12,0.3714194967416117,0.23121348161814548,0.33961400389226265,0.4533396389942451,0.9334293300293209,0.09393907674153648,0.07479480997721354
FlatDiv+G6,P14,0.3652190902979278,0.22676055896774697,0.3137293680937282,0.48644857478254194,0.9192221391764797,0.10959563869900173,0.07479480997721354
FlatDiv+G6,SOFT_AUPRC,0.3492095159271784,0.8027206156607598,0.0,0.0,0.0,0.0,0.0
FlatDiv+G6,Triangle,0.15872137677085235,0.08724055628693582,0.6754722732457927,0.0917464469553765,0.9970200453781695,0.008725877549913195,0.07479480997721354
FlatDiv+G6,Triangle_clean,0.15857340272566492,0.0871922731654883,0.759334609678034,0.0900277913973675,0.9981143232698176,0.007573449028862848,0.07479480997721354
FlatSub+G6,P08,0.3778952778744245,0.23538287688717294,0.41646939271529837,0.3761133221872829,0.9608928315776616,0.06262168714735243,0.07479480997721354
FlatSub+G6,P10,0.3790789840928134,0.23657710190789255,0.3754233442949995,0.42027792149878584,0.9476073261638754,0.07827782524956597,0.07479480997721354
FlatSub+G6,P12,0.37463457537202693,0.23350447177971967,0.3426440318259872,0.45716308189569893,0.9337620041094119,0.09393297322591146,0.07479480997721354
FlatSub+G6,P14,0.36775928607246283,0.22853938476305835,0.3160258073637451,0.4896198142094546,0.919523641130003,0.10958870781792533,0.07479480997721354
FlatSub+G6,SOFT_AUPRC,0.3547706360457714,0.803493477967619,0.0,0.0,0.0,0.0,0.0
FlatSub+G6,Triangle,0.16179424462697128,0.08902541872926081,0.6834704866731249,0.09351573025623816,0.9970609550126512,0.008830874972873265,0.07479480997721354
FlatSub+G6,Triangle_clean,0.1614685466686691,0.08886441200562409,0.7602004993303132,0.09173360564238267,0.9980641856512896,0.00775811767578125,0.07479480997721354
