source,name,dice,iou,precision,sensitivity,specificity,accuracy,pred_density,gt_density
RetCam,1.png,0.49792105405252746,0.33148793903002993,0.5233257661746529,0.47486867854555703,0.9374059113740688,0.878932291666638,0.11471354166666667,0.12641927083333335
RetCam,10.png,0.5643586216265749,0.39310556948838477,0.5273096575579906,0.6070071606018533,0.9467744471603646,0.9165006510416368,0.102568359375,0.0891015625
RetCam,11.png,0.5592395437261295,0.3881558112529325,0.48395906682883616,0.6622540411541887,0.944970192041119,0.9245312499999698,0.09892903645833333,0.072294921875
RetCam,12.png,0.43512172519635595,0.2780546782470692,0.42724446466468485,0.4432949136538911,0.946387062201195,0.9047558593749705,0.085859375,0.08275065104166666
Neo,1.png,0.3434998918450758,0.2073648472185611,0.27700492782689873,0.4520031310038952,0.9409703801551501,0.9176703559027622,0.0777553982204861,0.04765150282118055
Neo,10.png,0.4139403434398652,0.2609866165675155,0.40534849441975596,0.42290430907308696,0.9645710004820952,0.9353095160590119,0.056360880533854164,0.054021199544270836
Neo,11.png,0.47974166482660635,0.3155658835916787,0.39166291122118263,0.6189289275029842,0.9519386192900461,0.9360826280381785,0.07524278428819445,0.047614203559027776
Neo,12.png,0.505341271895676,0.33809809717339323,0.5109226688998775,0.49988050121188843,0.974997100983864,0.9514041476779352,0.048583984375,0.049657185872395836
