dice,iou,precision,sensitivity,specificity,accuracy,pred_density,gt_density,method
0.31377658944370507,0.18608245353454578,0.4576689539416213,0.23872180451121675,0.959063063600149,0.8679980468749717,0.06594075520833333,0.12641927083333335,c6_almeida_P08
0.34948641613536335,0.21174404109843772,0.44275502547275275,0.2886754557626201,0.9474221579645202,0.8641438802083051,0.08242513020833334,0.12641927083333335,c6_almeida_P10
0.3723147599716311,0.22873879471017508,0.4240908342930972,0.3318055412503008,0.9347937875422584,0.858564453124972,0.09890950520833333,0.12641927083333335,c6_almeida_P12
0.3544424165272995,0.2153935055735348,0.4382704342877154,0.29753321660307513,0.9448137604149235,0.8629850260416385,0.08582356770833334,0.12641927083333335,c6_almeida_Entropy
0.3532254093314734,0.21449529968037556,0.43892458314194627,0.2955247708311115,0.9453317136426291,0.8631835937499719,0.0851171875,0.12641927083333335,c6_almeida_Otsu
0.38075671973971625,0.23514485091981477,0.4269260302020646,0.343598722834395,0.9332548329879964,0.858710937499972,0.10174479166666667,0.12641927083333335,c6_almeida_Hyst
0.3903817196789464,0.24253062011763502,0.27941601297745833,0.6475435163248925,0.7583356933120404,0.7443294270833091,0.29297526041666666,0.12641927083333335,c6_almeida_RegionGrow
0.04083999903336294,0.020845668048149586,0.3320235756372023,0.0217581625296061,0.9936653202366563,0.8707975260416383,0.008284505208333333,0.12641927083333335,c6_almeida_HystClean
0.15729804731121913,0.08536271808997514,0.22939492646321716,0.11968276856521792,0.9418178295151011,0.837884114583306,0.06595703125,0.12641927083333335,c6_gauss_P08
0.19590424537120568,0.1085886072668656,0.2481443461780448,0.1618343804716856,0.9290404078042908,0.8320507812499729,0.08244791666666666,0.12641927083333335,c6_gauss_P10
0.22559909864359942,0.12714099641808416,0.2569341624715372,0.20107632093928288,0.9158456424855451,0.8254850260416398,0.098935546875,0.12641927083333335,c6_gauss_P12
0.16168105467440247,0.08795049144519695,0.23079862437894974,0.12442064064267062,0.9399919512303834,0.836888020833306,0.06815104166666666,0.12641927083333335,c6_gauss_Entropy
0.2450705370573315,0.1396469443543314,0.2586754398511633,0.23282521371916964,0.9034408489961059,0.8186621093749733,0.11378580729166667,0.12641927083333335,c6_gauss_Otsu
0.2650301170587232,0.15275776234767854,0.2600421261305266,0.2702132042434159,0.8887294868163804,0.8105371093749736,0.13136393229166668,0.12641927083333335,c6_gauss_Hyst
0.33588575394859693,0.201840561575375,0.23546707250155446,0.5856421876607824,0.7248252373641499,0.7072298177083103,0.314423828125,0.12641927083333335,c6_gauss_RegionGrow
0.04583082828468626,0.023452845817057522,0.2247165532874723,0.025517561025845733,0.9872598411112896,0.8656770833333052,0.01435546875,0.12641927083333335,c6_gauss_HystClean
0.22746235519503188,0.12832582476411072,0.37331766088723284,0.16355958389119282,0.9602666527551772,0.8595475260416386,0.05538736979166667,0.12641927083333335,c6_frangi_P08
0.23911886064151486,0.13579500359043506,0.33787850291501886,0.18503450406834251,0.9475264938665041,0.8511328124999723,0.06923177083333333,0.12641927083333335,c6_frangi_P10
0.24581248640413844,0.14012896825394344,0.30992868897409687,0.2036770007209281,0.9343727176521093,0.8419986979166392,0.08307942708333334,0.12641927083333335,c6_frangi_P12
0.19869986998695896,0.11030914097892194,0.44511156913662053,0.12789679678645385,0.9769268605326729,0.8695930989583049,0.036324869791666665,0.12641927083333335,c6_frangi_Entropy
0.1655763105792878,0.09026066962293465,0.5040618448630712,0.09905757544543747,0.9858960218210718,0.8737825520833049,0.02484375,0.12641927083333335,c6_frangi_Otsu
0.26787516535198985,0.15465118910232903,0.21621664373048985,0.3519672468842435,0.815362716310652,0.7567805989583086,0.205791015625,0.12641927083333335,c6_frangi_Hyst
0.2640658907908517,0.1521174619416598,0.19571994584723018,0.4057575445461928,0.7587045952511976,0.71408528645831,0.26208658854166667,0.12641927083333335,c6_frangi_RegionGrow
0.025253326683738298,0.012788134814947933,0.10555239719517615,0.01434236275620189,0.9824119479512534,0.860029296874972,0.017177734375,0.12641927083333335,c6_frangi_HystClean
0.053688739636886626,0.0275848682223984,0.14519241684624223,0.03293336079924994,0.9719410949307294,0.8532324218749722,0.028675130208333333,0.12641927083333335,c6_hessian_P08
0.06311312616605551,0.03258482827194088,0.14285714285701312,0.04050365640126674,0.9648313484669715,0.8479785156249724,0.03584309895833333,0.12641927083333335,c6_hessian_P10
0.07104843512842302,0.03683266932270183,0.1399379399075608,0.04761046451744577,0.9576545289233668,0.8426074218749725,0.043011067708333336,0.12641927083333335,c6_hessian_P12
0.06065284068979695,0.031274875361340805,0.14362674362660544,0.03844371201976557,0.9668286357335198,0.8494628906249723,0.033837890625,0.12641927083333335,c6_hessian_Entropy
0.03765896471430287,0.019190835862442284,0.14430336307456365,0.021655165310531042,0.9814170306001929,0.8600846354166386,0.018971354166666666,0.12641927083333335,c6_hessian_Otsu
0.09168358348030023,0.048044225101573336,0.1295738876868923,0.07093933463794651,0.9310376950708391,0.8223046874999732,0.06921223958333333,0.12641927083333335,c6_hessian_Hyst
0.12353755189330438,0.06583534459639771,0.12077532346137632,0.12642908641463427,0.8668077685531268,0.7732096354166414,0.13233723958333332,0.12641927083333335,c6_hessian_RegionGrow
0.08932876107695492,0.04675255442024936,0.1310911808669003,0.0677464208466197,0.935017364475081,0.8253776041666397,0.06533203125,0.12641927083333335,c6_hessian_HystClean
0.3793605142953173,0.23408075493752684,0.5530235769948935,0.2887012050673889,0.9662324305793263,0.8805794270833046,0.06599609375,0.12641927083333335,c6_gabor_P08
0.41225965284047306,0.25965180867136556,0.5220187830476987,0.34063755278598706,0.9548635435452983,0.8772135416666381,0.08249348958333333,0.12641927083333335,c6_gabor_P10
0.4329780781560765,0.2763063312136621,0.49296284117050543,0.38600782778855036,0.9425444545467744,0.8721874999999716,0.09899088541666666,0.12641927083333335,c6_gabor_P12
0.36071805702211185,0.22004637979897362,0.5698398576509287,0.2638788752702998,0.9711734807947052,0.8817578124999713,0.058541666666666665,0.12641927083333335,c6_gabor_Entropy
0.32750985631265017,0.1958216958998557,0.5968807464410564,0.22566690699345307,0.9779441355770155,0.8828417968749712,0.047796223958333335,0.12641927083333335,c6_gabor_Otsu
0.4314062569467476,0.27502739881329596,0.5081875632832275,0.374781130909369,0.9475115887376493,0.8751074218749715,0.093232421875,0.12641927083333335,c6_gabor_Hyst
0.38163294668975234,0.2358135911807837,0.2599957057906237,0.7171438871148633,0.7046176089192028,0.706201171874977,0.348701171875,0.12641927083333335,c6_gabor_RegionGrow
0.0078330911151051,0.003931945200058378,0.09028960817665935,0.004094139458233574,0.9940304958935999,0.8688834635416384,0.005732421875,0.12641927083333335,c6_gabor_HystClean
0.3665809246597904,0.22442551957062135,0.534705766192469,0.27889071995048953,0.9648797901357498,0.8781575520833047,0.0659375,0.12641927083333335,c6_dog_P08
0.395592063219852,0.24656576058440427,0.5011650408749649,0.326758677515623,0.9529333293585968,0.8737727864583048,0.08242513020833334,0.12641927083333335,c6_dog_P10
0.41371838026026586,0.2608101708498305,0.4712522626294319,0.36870429498394053,0.9401335499545043,0.867893880208305,0.09890950520833333,0.12641927083333335,c6_dog_P12
0.3603993001954718,0.2198091890534313,0.5397102640498614,0.270522195900641,0.9666125113651247,0.8786132812499714,0.06336588541666667,0.12641927083333335,c6_dog_Entropy
0.34409439068823405,0.20779831214609384,0.5496467928790338,0.2504377381810046,0.9703052570389109,0.8793001302083047,0.057600911458333334,0.12641927083333335,c6_dog_Otsu
0.4289610500297695,0.27304291216834425,0.4783917368986508,0.38878875270357693,0.9386542159156616,0.8691406249999717,0.10274088541666666,0.12641927083333335,c6_dog_Hyst
0.4098594923220187,0.25775048830151503,0.30172088780780765,0.6388145020082814,0.7860517804176124,0.7674381510416417,0.2676595052083333,0.12641927083333335,c6_dog_RegionGrow
0.07236753555563903,0.0375421854998167,0.28091257401553305,0.04153362859201733,0.9846141807395558,0.8653906249999718,0.01869140625,0.12641927083333335,c6_dog_HystClean
0.26842889054351377,0.15502042571486974,0.3915383096364576,0.20421773612107216,0.9540735717159919,0.859277343749972,0.0659375,0.12641927083333335,almeida_gauss_P08
0.3024767367551004,0.17818709369372715,0.3831997156508893,0.24984550417132306,0.9418029243862461,0.8543261718749722,0.08242513020833334,0.12641927083333335,almeida_gauss_P10
0.3282529868103136,0.19635326650532384,0.37390159618220375,0.29253785147793476,0.9291112071663513,0.8486360677083057,0.09890950520833333,0.12641927083333335,almeida_gauss_P12
0.33008592694767797,0.1976664142630623,0.37343130242526384,0.29575651457403035,0.9281870891773513,0.8482356770833057,0.10012369791666667,0.12641927083333335,almeida_gauss_Entropy
0.36704074606487397,0.22477030285989957,0.3457048583455807,0.391183438047072,0.8928582075091706,0.8294368489583063,0.14305013020833332,0.12641927083333335,almeida_gauss_Otsu
0.3742728934684615,0.23021876916782572,0.34720937403630964,0.4059120403748054,0.8895604477500376,0.828417968749973,0.14779296875,0.12641927083333335,almeida_gauss_Hyst
0.3868949147665693,0.23984482989251885,0.2684292472602882,0.6925275517559243,0.7268672400172629,0.7225260416666431,0.32615234375,0.12641927083333335,almeida_gauss_RegionGrow
0.01679531340356101,0.008468774563247428,0.3564567769439012,0.008600267792767381,0.9977530518250958,0.8727050781249716,0.0030501302083333335,0.12641927083333335,almeida_gauss_HystClean
0.33909835510723296,0.20416522323880665,0.4946188783567858,0.25798228447825267,0.9618540489782176,0.8728710937499715,0.0659375,0.12641927083333335,almeida_gabor_gauss_P08
0.36603955920626496,0.22401984164834038,0.4637257612256768,0.3023483365948341,0.9494008138200001,0.8676009114583051,0.08242513020833334,0.12641927083333335,almeida_gabor_gauss_P10
0.38387194637459965,0.23752569947255966,0.437255224617266,0.34210526315780665,0.9362843004277422,0.8611686197916386,0.09890950520833333,0.12641927083333335,almeida_gabor_gauss_P12
0.35266496013559545,0.21408210934712102,0.48073076410166654,0.2784787310741893,0.9564695711794071,0.8707584635416383,0.073232421875,0.12641927083333335,almeida_gabor_gauss_Entropy
0.3905673044645308,0.24267389717380286,0.42749540722583357,0.35951179318149157,0.9303259751680206,0.858164062499972,0.10631510416666666,0.12641927083333335,almeida_gabor_gauss_Otsu
0.4001164359998412,0.25009097224515364,0.4115181536115586,0.389329488103721,0.9194303259751337,0.8524153645833056,0.11960286458333333,0.12641927083333335,almeida_gabor_gauss_Hyst
0.3971621300783209,0.24778683953713163,0.2724729328350798,0.7322587290141281,0.7170559389485655,0.7189778645833099,0.33974609375,0.12641927083333335,almeida_gabor_gauss_RegionGrow
0.0149976174353535,0.0075554657098075625,0.2883317261302958,0.00769904212586062,0.9972500037262451,0.872151692708305,0.0033756510416666666,0.12641927083333335,almeida_gabor_gauss_HystClean
0.213878051689147,0.11974437237693253,0.31604652333703437,0.1616283860335355,0.9493821824089315,0.8497949218749723,0.06465169270833333,0.12641927083333335,frangi_hessian_P08
0.23005874776157992,0.12998100782759192,0.29497301216454724,0.18856215882166327,0.9347788824134036,0.8404427083333059,0.08081380208333333,0.12641927083333335,frangi_hessian_P10
