key,value
method,overlay_results
channel,green
clahe1_clip,6.0
clahe1_tile,16
invert,True
filter,gabor
median_blur,7
clahe2_clip,12.0
clahe2_tile,12
threshold_method,percentile
target_density,0.16
keep_top_components,2
