dice,iou,precision,sensitivity,specificity,accuracy,pred_density,gt_density,image,source,channel_source,threshold,time_sec
0.31230546815200066,0.18504857499895494,0.45999298562029156,0.23640436708202792,0.9598381303006006,0.868382161458305,0.064970703125,0.12641927083333335,1.png,RetCam,C4G4,P08,1.707
0.34569798068475704,0.2089690858431341,0.44191919191901474,0.2838860850756299,0.948118972738484,0.8641471354166385,0.0812109375,0.12641927083333335,1.png,RetCam,C4G4,P10,1.707
0.37415302294466307,0.23012806753948808,0.42975482664158265,0.33129055515492556,0.9363849100475125,0.8598893229166387,0.09745442708333334,0.12641927083333335,1.png,RetCam,C4G4,P12,1.707
0.3918171465755122,0.24363967427035496,0.41373683005027095,0.37210320321341744,0.9236969191098312,0.8539648437499722,0.11369791666666666,0.12641927083333335,1.png,RetCam,C4G4,P14,1.707
0.39924827730209866,0.24941299243408405,0.4047845876996918,0.39386136574302355,0.9161884604492064,0.8501562499999723,0.1230078125,0.12641927083333335,1.png,RetCam,C4G4,Triangle,1.707
0.3988346340433982,0.2490902204876996,0.4086169638032392,0.3895097332371023,0.9184205034952184,0.8515559895833056,0.1205078125,0.12641927083333335,1.png,RetCam,C4G4,Triangle_clean,1.707
0.3153152054013779,0.7432287554181023,0,0,0,0,0,0,1.png,RetCam,C4G4,SOFT_AUPRC,0
0.31451654052209976,0.18660316050774253,0.46324966180647165,0.23807807189199762,0.9600803386444917,0.8688053385416383,0.064970703125,0.12641927083333335,1.png,RetCam,C6G6,P08,1.661
0.3505894895270992,0.2125544170484169,0.44817219817201853,0.28790297661955716,0.9487002727638226,0.8651627604166384,0.0812109375,0.12641927083333335,1.png,RetCam,C6G6,P10,1.661
0.37505452641981346,0.23081053027180579,0.43079029995309276,0.33208878360275723,0.9365004247961374,0.8600911458333053,0.09745442708333334,0.12641927083333335,1.png,RetCam,C6G6,P12,1.661
0.3906241527031627,0.24271779234121627,0.41247709573968955,0.3709702338035918,0.923532962692428,0.8536783854166389,0.11369791666666666,0.12641927083333335,1.png,RetCam,C6G6,P14,1.661
0.38199026577549106,0.23608650658617578,0.4254512121881261,0.3465856421875717,0.9322673682013634,0.8582259114583054,0.10298502604166666,0.12641927083333335,1.png,RetCam,C6G6,Triangle,1.661
0.3813058931437197,0.23556389779182343,0.42996121525519393,0.34254300133887566,0.9342795605967665,0.859472656249972,0.10071614583333334,0.12641927083333335,1.png,RetCam,C6G6,Triangle_clean,1.661
0.3136670885302965,0.73501395590941,0,0,0,0,0,0,1.png,RetCam,C6G6,SOFT_AUPRC,0
0.1909406007883324,0.10554689407740753,0.2806693306691905,0.14468534349568837,0.9463378098403308,0.8449934895833058,0.06516927083333333,0.12641927083333335,1.png,RetCam,BH isolated,P08,1.641
0.21919481373604874,0.12308747493930515,0.2796803196802079,0.18021938407658353,0.9328300368156335,0.8376855468749727,0.08146158854166667,0.12641927083333335,1.png,RetCam,BH isolated,P10,1.641
0.24046699387212261,0.1366652361931574,0.2757242757241839,0.213204243485371,0.9189533618517789,0.8297330729166397,0.09775390625,0.12641927083333335,1.png,RetCam,BH isolated,P12,1.641
0.2560138620026457,0.14679810603118112,0.2699015270443072,0.2434854258934382,0.9046854272554848,0.8210970052083065,0.11404622395833333,0.12641927083333335,1.png,RetCam,BH isolated,P14,1.641
0.2641806451612562,0.1521936279975392,0.26476825987992325,0.2635956329178434,0.89407297551084,0.8143684895833068,0.125859375,0.12641927083333335,1.png,RetCam,BH isolated,Triangle,1.641
0.2683567370564546,0.1549722987402651,0.2797519275895967,0.25785353795440885,0.9039289919661019,0.8222526041666399,0.1165234375,0.12641927083333335,1.png,RetCam,BH isolated,Triangle_clean,1.641
0.2079214177371395,0.6377986902370173,0,0,0,0,0,0,1.png,RetCam,BH isolated,SOFT_AUPRC,0
0.13148988997157773,0.07037151646430086,0.1936194721289159,0.099546812236044,0.9400031300770244,0.8337532552083061,0.06499674479166667,0.12641927083333335,1.png,RetCam,BHboost+G6,P08,1.583
0.14226820283719066,0.07658166967614348,0.18181818181810896,0.11685034504065382,0.923905590913799,0.8218782552083066,0.08124674479166667,0.12641927083333335,1.png,RetCam,BHboost+G6,P10,1.583
0.15177286405859367,0.08211808013590667,0.17428466495269798,0.1344113708929513,0.9078453145727106,0.8100683593749736,0.09749674479166667,0.12641927083333335,1.png,RetCam,BHboost+G6,P12,1.583
0.15833773838081863,0.08597544820276047,0.16715794293559022,0.15040168915435412,0.891557735016586,0.797861328124974,0.11374674479166667,0.12641927083333335,1.png,RetCam,BHboost+G6,P14,1.583
0.036036036036027334,0.018348623853206496,0.29061160888083126,0.019208981357498402,0.9932144400887976,0.8700813802083049,0.008356119791666667,0.12641927083333335,1.png,RetCam,BHboost+G6,Triangle,1.583
0.03501210653752179,0.01781797570051561,0.29342532467413385,0.018616747347816816,0.9935125426658943,0.870266927083305,0.008020833333333333,0.12641927083333335,1.png,RetCam,BHboost+G6,Triangle_clean,1.583
0.15155636127434122,0.5528192145660601,0,0,0,0,0,0,1.png,RetCam,BHboost+G6,SOFT_AUPRC,0
0.3446551577514509,0.20820746768587878,0.5076406633596334,0.26089195591712305,0.9633818246858384,0.8745735677083049,0.064970703125,0.12641927083333335,1.png,RetCam,FlatSub+G6,P08,1.608
0.36244199172200514,0.22133078027760245,0.4633237133235276,0.29763621382215016,0.9501088074406049,0.8676236979166384,0.0812109375,0.12641927083333335,1.png,RetCam,FlatSub+G6,P10,1.608
0.37415302294466307,0.23012806753948808,0.42975482664158265,0.33129055515492556,0.9363849100475125,0.8598893229166387,0.09745442708333334,0.12641927083333335,1.png,RetCam,FlatSub+G6,P12,1.608
