key,value
method,overlay_best_tuned
channel,green
clahe1_clip,6.0
clahe1_tile,16
invert,True
filter,gabor
median_blur,7
clahe2_clip,9.0
clahe2_tile,12
threshold_method,percentile
target_density,0.16
keep_top_components,3
morph_close_ksize,5
note,tuned from overlay_results; eval on 4 RetCam + 4 Neo Agrawal2021 pairs
