method,dice,sensitivity,precision
C6G6_gabor_P08,0.40286749738238453,0.4170789071857944,0.4109988577321391
C6G6_gabor_P10,0.3942531154026113,0.4582979647343602,0.36321276955282866
C6G6_final_P08,0.3930249069364108,0.40739252602727677,0.4004623664471942
C6G6_Gray_final_P08,0.3905473137751461,0.4053268762158149,0.39749466589457844
C6G6_final_P10,0.38825717310838154,0.4521337211316302,0.3571157473989106
C6G6_Gray_final_P10,0.3875736787157379,0.45203913427125586,0.35604360894998166
C6G6_combined_gabor_P08,0.38732790527059874,0.40155760103912996,0.3946209889317121
Green_gabor_P10,0.3849963770664092,0.44776741832866973,0.3540437959281251
C6G6_combined_gabor_P10,0.38247408151316964,0.4457016392068896,0.35161274721499874
C6G6_gabor_P12,0.38118846491876945,0.49120032546327685,0.3257296525779601
Green_gabor_P08,0.38106760727619343,0.3944431665535695,0.3881540718928663
Green_dog_P10,0.3802704541659683,0.44229136999835444,0.34988943647099957
Green_final_P10,0.3800872510814496,0.44418139765596953,0.3482062038910527
Green_gabor_P12,0.3794879991008021,0.4891834660447665,0.32386509307217315
C6G6_Gray_final_P12,0.37823385412885446,0.489378737100073,0.3222252668133556
C6G6_final_P12,0.37726019672827227,0.48749602807818954,0.32165106924422765
Green_final_P12,0.37713141408548745,0.4889261012081585,0.32051468520225
Green_dog_P12,0.3766348784167019,0.48571297324637397,0.32135139930463646
Green_dog_P08,0.3763760653062782,0.3898988206069363,0.38344503718983647
C6G6_dog_P08,0.37541418592569903,0.388484981452709,0.3832153926401999
Green_final_P08,0.37473356921881423,0.3896065675920587,0.380198670533069
C6G6_dog_P10,0.3737508317090704,0.43457090583606056,0.34416884564823846
C6G6_Red_final_P08,0.37231332802302314,0.38712511865024923,0.3783045871679922
C6G6_combined_gabor_P12,0.3719186336337034,0.48098639345100525,0.3169360196935408
Green_combined_gabor_P10,0.37121319863317714,0.4347260023316091,0.33939539036681515
Gray_gabor_P10,0.3701185051914328,0.430405601870282,0.340582972309475
C6G6_Red_final_P10,0.3695638704019476,0.4318994101622349,0.33899768711857226
Green_combined_gabor_P12,0.3694975109428116,0.48010527485091786,0.3135037396931938
LAB_L_gabor_P10,0.3678834855029064,0.4273551232233593,0.33869267287078675
C6G6_dog_P12,0.36538851475621564,0.471329934450596,0.3118582949188197
Gray_gabor_P12,0.3652074791475167,0.47084955829133374,0.3117294575259398
Gray_gabor_P08,0.3647483665184029,0.3775637767280589,0.37182059876941137
Green_combined_gabor_P08,0.36445697883234074,0.37968101781669883,0.3688819560038733
LAB_L_gabor_P12,0.36287656146213493,0.46743099402337396,0.30983168263656374
LAB_L_gabor_P08,0.36194236309403743,0.37432247727601187,0.3691725045923754
C6G6_Red_final_P12,0.3619390716744644,0.4692413710166294,0.307964214401618
C6G6_combined_P08,0.36019032949407254,0.3737921631736495,0.36666456648514906
C6G6_combined_P10,0.35769957848149714,0.4175839546503305,0.32833264809704105
Green_combined_P12,0.35732418711644287,0.4660341967718248,0.302397279454242
Green_combined_P10,0.3555985588505113,0.4185485662483683,0.323731537105424
Gray_dog_P10,0.354333128157262,0.41231860698942163,0.32604272513889765
C6G6_Gray_combined_P10,0.35349166742827975,0.4140398247012623,0.3235394016092362
C6G6_Gray_combined_P08,0.35227750355814613,0.3668713855082597,0.35719805564795026
Gray_dog_P12,0.351819638515359,0.4540678771169559,0.3001406753953356
Gray_final_P10,0.3515134540527831,0.41113294932723965,0.32192774426733217
Green_Blue_final_P10,0.35085821751145324,0.4091812769497042,0.32188558332057393
C6G6_combined_P12,0.3507192384470296,0.45462356453053543,0.29836756626431354
Green_Blue_final_P12,0.35046757314612853,0.45365779741178913,0.2981083404838299
Gray_final_P12,0.35032993143269414,0.454369068958907,0.2977726700671447
C6G6_Gray_combined_P12,0.3494240830698986,0.4540291526581459,0.2967827920475388
Gray_dog_P08,0.3493435604456516,0.36185528975111303,0.3561327490180416
LAB_L_dog_P10,0.3483192798394904,0.40599546390716296,0.3199482475128518
Green_HSVV_final_P10,0.3476110473212928,0.4062856090793397,0.31846362482110074
Green_HSVV_final_P12,0.34639453763101596,0.4491173250251487,0.2944341484434988
LAB_L_final_P10,0.34608991588962607,0.40547895965349345,0.31640277101018993
LAB_L_dog_P12,0.3459969422612907,0.4473214296155808,0.2947058236214591
Green_combined_P08,0.3459539285494848,0.3622684559607272,0.348249647193447
LAB_L_final_P12,0.34581984094455026,0.44910496107076997,0.29359453219589166
Gray_final_P08,0.3441814193770111,0.35822726817328554,0.3489781673454892
Green_Blue_final_P08,0.34279359927507463,0.355330588547819,0.3487389986635735
LAB_L_dog_P08,0.3427908470499777,0.35573522093797966,0.34866878124572137
Green_Blue_combined_P10,0.3425190169942334,0.40298262114092154,0.3119292976391614
Gray_combined_gabor_P12,0.34251026961566466,0.44503690711279403,0.29072692812680756
Green_Blue_combined_P12,0.3419163251862608,0.44603337060806175,0.2892568806878689
Gray_combined_gabor_P10,0.34176373983796493,0.40065069899474415,0.31232838472386343
Green_HSVV_final_P08,0.3400696477823537,0.3535070314275853,0.3451803274663751
C6G6_Red_combined_P10,0.33869486243621905,0.39765005044027524,0.30943433912310614
LAB_L_combined_gabor_P12,0.3383412750885955,0.4401365430526042,0.2869055364221535
LAB_L_final_P08,0.33742479040038775,0.35194261025801726,0.3411592686512276
Green_Red_final_P10,0.33733106662765805,0.39396242258806374,0.3092951940142775
Green_Red_final_P12,0.33696104936797067,0.4364261592806593,0.28667374812922247
C6G6_Red_combined_P12,0.33655226017768347,0.43827257988457574,0.285433516667873
LAB_L_combined_gabor_P10,0.3362667350165152,0.39479627357163477,0.3068408769787877
C6G6_Red_combined_P08,0.3356110656807661,0.35053084578761523,0.3392940889953867
Green_Blue_combined_P08,0.3350720242122163,0.3505619286743943,0.33762866733041674
Green_HSVV_combined_P12,0.3343733325968651,0.43644381662601567,0.28291526097904335
Gray_combined_gabor_P08,0.3334044757906937,0.34792636733273163,0.33695725530524123
Green_HSVV_combined_P10,0.3302062297099366,0.3890991940126933,0.30040565035854944
Green_Red_final_P08,0.3300400759221907,0.34297326201794964,0.3351534956367447
Gray_combined_P12,0.3293264258099172,0.42915690807360757,0.27899888677679974
LAB_L_combined_gabor_P08,0.327035621963128,0.34190185402952894,0.32974447640922666
LAB_L_combined_P12,0.32490180872402286,0.4241376688206957,0.2748945729010942
Gray_combined_P10,0.3246564109796659,0.38215409743852624,0.2956815160388514
Green_Red_combined_P12,0.3206332228121319,0.41789469243402566,0.2716426125971466
LAB_L_combined_P10,0.3201035819951258,0.3774782814302932,0.29104703402333926
Green_HSVV_combined_P08,0.31841312319517334,0.33428420209033294,0.3196918480404148
Green_Red_combined_P10,0.3160565895524954,0.37196530715887705,0.28787470934654263
Gray_combined_P08,0.31319230613153737,0.3285543924630956,0.3147360004974931
LAB_L_combined_P08,0.3070624197231699,0.32291829215540313,0.30767739651586934
Green_Red_combined_P08,0.30409949413929244,0.31909970909321966,0.30551876748741197
Green_LA_combined_P12,0.2857046528955239,0.36822412588089626,0.24382652549695
HSV_V_gabor_P10,0.28204093455226725,0.3249389707512571,0.2616962340150347
HSV_V_gabor_P12,0.28161592629635596,0.3600623400067785,0.24189853342164866
Green_LA_combined_P10,0.2804300268380677,0.3263992020677469,0.25759018423740854
Green_LA_final_P12,0.28027585246218345,0.3583703057300618,0.24034828008884324
Red_gabor_P10,0.27894794543953233,0.3209422743915443,0.2591697454028427
Red_gabor_P12,0.27835810271276173,0.3553440833364755,0.23940693729963858
HSV_V_gabor_P08,0.27637755288109644,0.2830509167722802,0.28500535317914377
Green_LA_final_P10,0.27433000731099416,0.31662359124772765,0.2536412650980056
Red_gabor_P08,0.27342756861488093,0.2797149388719843,0.2823616348975292
Blue_gabor_P12,0.2713511483531939,0.34631167165598364,0.2336746828704967
Blue_gabor_P10,0.2701815797894533,0.3106638555124731,0.2514390434998827
Green_LA_combined_P08,0.2691805487911164,0.279402284658623,0.27308936430783415
Green_LA_final_P08,0.2631393012538516,0.27044050064942254,0.2697280599710207
Blue_final_P12,0.26310375342793035,0.3369658173792401,0.2259741122733921
Blue_final_P10,0.262408222552906,0.3028269200716512,0.2434311911708497
Blue_gabor_P08,0.26179101749145994,0.2676212183416989,0.2708470461571901
Blue_combined_gabor_P12,0.2606078073572974,0.3346579097736143,0.22336708352729046
Blue_combined_gabor_P10,0.25899949247791504,0.29947717869188883,0.23984275621856982
Blue_final_P08,0.2551352233655604,0.261844197497045,0.26285560536366925
Blue_combined_gabor_P08,0.2512863745811616,0.2582427111121552,0.2584942430836984
Blue_dog_P12,0.2509176342363356,0.32034101390915615,0.21597647075439036
Blue_combined_P12,0.2500101917711969,0.32182001942287897,0.21389287881508062
HSV_V_final_P12,0.2496169063744338,0.3202581850741637,0.21382145869763197
Blue_dog_P10,0.24871693547022383,0.2861411523183711,0.2313915671028596
Blue_combined_P10,0.2476442042809479,0.2872568001624728,0.22868026847689568
HSV_V_combined_gabor_P12,0.24656739933483038,0.3167114172521462,0.21102803194105188
HSV_V_final_P10,0.24612161105669142,0.2847123352197282,0.2274584185038418
Red_final_P12,0.24495172875173518,0.3135088568556588,0.21025168591126153
Green_combined_Hyst,0.24298112036439315,0.7974401203318455,0.14758757191896976
HSV_V_combined_gabor_P10,0.24244283395350003,0.280914900891163,0.22372123505197594
Red_combined_gabor_P12,0.2424420341775509,0.3107457326486421,0.20787049021011103
Red_final_P10,0.24182531266475013,0.27919189598349275,0.22393751069562376
Blue_dog_P08,0.24160473404001687,0.24742698150107337,0.2496703985928049
Blue_combined_P08,0.24024231057592588,0.24774573647804582,0.2463044776873148
HSV_V_dog_P12,0.23910090684779006,0.30562409276278485,0.20535336795800124
Red_combined_gabor_P10,0.23870414418089642,0.27610595199743815,0.22065779156891469
Green_combined_gabor_Hyst,0.23824492169264583,0.8083245949037373,0.1438269629698762
Green_final_Hyst,0.2371079397073091,0.8139379024632944,0.14306149148603287
C6G6_dog_Hyst,0.2370376691905411,0.7479377390205297,0.1441089050800734
C6G6_Gray_combined_Hyst,0.23701071818168687,0.7533056923492905,0.14364609852132051
Green_HSVV_combined_Hyst,0.23671681511224757,0.7786829581859894,0.1439858484018872
HSV_V_final_P08,0.23669232214506747,0.2437859787023328,0.24251771490369242
Green_Blue_combined_Hyst,0.2364498502322129,0.7806737230991098,0.1439622826994274
C6G6_final_Hyst,0.2362049525301621,0.7596135948855762,0.14276552787837868
C6G6_combined_gabor_Hyst,0.2350936692426251,0.7587296678349167,0.14200605708900382
C6G6_combined_Hyst,0.2342682073581913,0.74784086398883,0.14171737573438284
