dice,iou,precision,sensitivity,specificity,accuracy,pred_density,gt_density,method
0.35721052987745194,0.21744145331708567,0.5207675611678567,0.271835410443848,0.963799168293774,0.8763216145833048,0.06598958333333334,0.12641927083333335,gabor_raw_green_P08
0.3915421412655014,0.24342704357424616,0.4957973244937075,0.3235142651147586,0.9523892921553951,0.8728873697916382,0.082490234375,0.12641927083333335,gabor_raw_green_P10
0.4125700421696591,0.2598981077146543,0.46974480399879315,0.36780306931703377,0.9399174255861091,0.8675911458333051,0.098984375,0.12641927083333335,gabor_raw_green_P12
0.337596566523587,0.2030773997005084,0.21322273725297405,0.8101761252444099,0.5673786349882783,0.5980729166666472,0.4803515625,0.12641927083333335,gabor_raw_green_DTD40h85
0.337596566523587,0.2030773997005084,0.21322273725297405,0.8101761252444099,0.5673786349882783,0.5980729166666472,0.4803515625,0.12641927083333335,gabor_raw_green_DTD40h90
0.337596566523587,0.2030773997005084,0.21322273725297405,0.8101761252444099,0.5673786349882783,0.5980729166666472,0.4803515625,0.12641927083333335,gabor_raw_green_DTD40h92
0.3659205937195836,0.22393072962868593,0.24092277321410582,0.7604799670406941,0.6532582611676434,0.666813151041645,0.39904622395833333,0.12641927083333335,gabor_raw_green_DTD50h85
0.3659205937195836,0.22393072962868593,0.24092277321410582,0.7604799670406941,0.6532582611676434,0.666813151041645,0.39904622395833333,0.12641927083333335,gabor_raw_green_DTD50h90
0.3659205937195836,0.22393072962868593,0.24092277321410582,0.7604799670406941,0.6532582611676434,0.666813151041645,0.39904622395833333,0.12641927083333335,gabor_raw_green_DTD50h92
0.39302409725737075,0.244573734171493,0.2733256839180835,0.6992481203005719,0.7309698767345572,0.726959635416643,0.32341796875,0.12641927083333335,gabor_raw_green_DTD60h85
0.3945889758742471,0.24578688569123638,0.2748974527776093,0.6988876300338092,0.7332242774738514,0.7288834635416429,0.3214029947916667,0.12641927083333335,gabor_raw_green_DTD60h90
0.3945889758742471,0.24578688569123638,0.2748974527776093,0.6988876300338092,0.7332242774738514,0.7288834635416429,0.3214029947916667,0.12641927083333335,gabor_raw_green_DTD60h92
0.40564401456311927,0.25442499558965553,0.5158777473071356,0.3342259758985647,0.9546101563547661,0.8761816406249714,0.081904296875,0.12641927083333335,gabor_raw_green_median7_P10
