source,name,dice,iou,precision,sensitivity,specificity,accuracy,pred_density,gt_density
RetCam,1.png,0.4876719365332333,0.32246438343233846,0.5468830005118578,0.4400298691934185,0.9472395701360485,0.8831184895833045,0.10171875,0.12641927083333335
RetCam,10.png,0.5585625031574816,0.38750379699502596,0.5181042831701964,0.6058746163960961,0.9448768529239052,0.9146712239583035,0.10419596354166667,0.0891015625
RetCam,11.png,0.583978205937977,0.4124076397600969,0.5199493795477484,0.6659912648022577,0.9520826973483039,0.931399739583303,0.09260091145833334,0.072294921875
RetCam,12.png,0.42547191649646976,0.2702218658112082,0.45746221377479523,0.3976633491993243,0.9574524716177941,0.911129557291637,0.07193359375,0.08275065104166666
Neo,1.png,0.3417675100842873,0.206103494029151,0.3096345514949272,0.3813420621929903,0.9574573006383815,0.9300045437282828,0.05868699815538195,0.04765150282118055
Neo,10.png,0.33806506125890623,0.20341654379983645,0.5170252632935859,0.2511376832061478,0.9866030063032902,0.9468722873263729,0.026240030924479168,0.054021199544270836
Neo,11.png,0.5230948833350451,0.3541831343344939,0.45997784801565234,0.6062882780228578,0.9644141417737572,0.9473622639973798,0.0627593994140625,0.047614203559027776
Neo,12.png,0.4709380050680466,0.30799143960739434,0.5665930478199699,0.40291577042561955,0.9838957424603105,0.9550459120008519,0.03531222873263889,0.049657185872395836
